a                             a
astreins                      astrein
astres                        astre
astrologie                    astrolog
astrologique                  astrolog
astrologiques                 astrolog
astrologues                   astrologu
astronomes                    astronom
astronomie                    astronom
astronomique                  astronom
astuce                        astuc
at                            at
atelier                       ateli
athe`nes                      athen
atlantique                    atlant
atmosphe`re                   atmospher
atome                         atom
atours                        atour
atouts                        atout
atroce                        atroc
atrocement                    atroc
atroces                       atroc
atrocite'                     atroc
attacha                       attach
attachaient                   attach
attachait                     attach
attachant                     attach
attache                       attach
attache'                      attach
attache'e                     attach
attache'es                    attach
attachement                   attach
attachent                     attachent
attacher                      attach
attachera                     attach
attacherai                    attach
attacherait                   attach
attache`rent                  attach
attache's                     attach
attaqua                       attaqu
attaquaient                   attaqu
attaquait                     attaqu
attaque                       attaqu
attaque'                      attaqu
attaque'e                     attaqu
attaquer                      attaqu
attaques                      attaqu
attaque's                     attaqu
attarde'                      attard
atteignaient                  atteign
atteignait                    atteign
atteignirent                  atteign
atteignit                     atteign
atteindrait                   atteindr
atteindre                     atteindr
atteint                       atteint
atteintes                     atteint
atteints                      atteint
attelage                      attelag
attelages                     attelag
attelait                      attel
attele'                       attel
attele'e                      attel
attele's                      attel
attelle                       attel
attenait                      atten
attenant                      atten
attenante                     atten
attend                        attend
attendaient                   attend
attendais                     attend
attendait                     attend
attendant                     attend
attendent                     attendent
attendez                      attend
attendirent                   attend
attendit                      attend
attendons                     attendon
attendra                      attendr
attendrai                     attendr
attendrait                    attendr
attendre                      attendr
attendri                      attendr
attendrie                     attendr
attendrir                     attendr
attendriraient                attendr
attendris                     attendr
attendrissant                 attendr
attendrissement               attendr
attendrit                     attendr
attends                       attend
attendu                       attendu
attendue                      attendu
attendus                      attendus
attente                       attent
attente'                      attent
attenter                      attent
attentif                      attent
attentifs                     attent
attention                     attent
attentions                    attent
attentive                     attent
attentivement                 attent
atterra                       atterr
atterrages                    atterrag
atterre'                      atterr
atterre'e                     atterr
attestaient                   attest
attie'di                      attied
attira                        attir
attiraient                    attir
attirait                      attir
attire                        attir
attire'                       attir
attirent                      attirent
attirer                       attir
attirerait                    attir
attire`rent                   attir
attire's                      attir
attitude                      attitud
attraction                    attract
attrait                       attrait
attrape'                      attrap
attrapera                     attrap
attrayant                     attrai
attrayantes                   attrai
attribuaient                  attribu
attribuait                    attribu
attribue'                     attribu
attribue'e                    attribu
attribuer                     attribu
attribuera                    attribu
attributions                  attribu
attristait                    attrist
attriste'                     attrist
attriste'e                    attrist
attrister                     attrist
attroupement                  attroup
attrouper                     attroup
au                            au
aubaine                       aubain
aubaines                      aubain
aube                          aub
auberge                       auberg
auberges                      auberg
aubergistes                   auberg
aubigne'                      aubign
aubry                         aubry
auburn                        auburn
aucun                         aucun
aucune                        aucun
aucunement                    aucun
audace                        audac
audacieuse                    audaci
audacieuses                   audaci
audacieux                     audaci
audience                      audienc
audiences                     audienc
audit                         audit
auditeur                      auditeur
auditeurs                     auditeur
auditoire                     auditoir
augmenta                      augment
augmentaient                  augment
augmentait                    augment
augmentant                    augment
augmentation                  augment
augmente                      augment
augmente'                     augment
augmente'e                    augment
augmenter                     augment
augmentera                    augment
augmenterait                  augment
augure                        augur
augurer                       augur
auguste                       august
augustes                      august
augustin                      augustin
aujourd                       aujourd
aumo^ne                       aumo^n
aumo^nes                      aumo^n
aumo^nier                     aumo^ni
aunes                         aun
auparavant                    auparav
aupre`s                       aupres
auquel                        auquel
aura                          aur
aurai                         aur
auraient                      aur
aurais                        aur
aurait                        aur
auras                         aur
aureng                        aureng
aurez                         aur
auriez                        aur
aurions                       aurion
aurons                        auron
auront                        auront
aurungabad                    aurungabad
aussi                         auss
aussito^t                     aussito^t
auste`re                      auster
auste`res                     auster
auste'rite'                   auster
austral                       austral
autant                        aut
autel                         autel
autels                        autel
auteur                        auteur
auteurs                       auteur
authenticite'                 authent
auto                          auto
automate                      automat
automatique                   automat
automne                       automn
autorisait                    autoris
autorisation                  autoris
autorisations                 autoris
autorise                      autoris
autorise'                     autoris
autorise'e                    autoris
autorisent                    autorisent
autorisera                    autoris
autoriserait                  autoris
autorite'                     autor
autorite's                    autor
autour                        autour
autre                         autr
autrefois                     autrefois
autrement                     autr
autres                        autr
autriche                      autrich
autrichien                    autrichien
autrichienne                  autrichien
autrichiennes                 autrichien
autrichiens                   autrichien
aux                           aux
auxiliaire                    auxiliair
auxquelles                    auxquel
auxquels                      auxquel
av                            av
avaient                       avaient
avais                         avais
avait                         avait
avala                         aval
avale'                        aval
avanc,a                       avanc
avanc,aient                   avanc
avanc,ait                     avanc
avanc,ant                     avanc
avance                        avanc
avance'                       avanc
avance'e                      avanc
avancement                    avanc
avancements                   avanc
avancent                      avancent
avancer                       avanc
avancera                      avanc
avancerait                    avanc
avance`rent                   avanc
avances                       avanc
avance's                      avanc
avancez                       avanc
avanie                        avan
avanies                       avan
avant                         avant
avantage                      avantag
avantages                     avantag
avantageuse                   avantag
avantageusement               avantag
avantageux                    avantag
avare                         avar
avarice                       avaric
avarie                        avar
avaries                       avar
ave                           ave
avec                          avec
avenir                        aven
aventure                      aventur
aventurent                    aventurent
aventurer                     aventur
aventures                     aventur
aventureuse                   aventur
aventureux                    aventur
avenues                       avenu
ave're'                       aver
averse                        avers
aversion                      avers
averti                        avert
avertie                       avert
averties                      avert
avertir                       avert
avertira                      avert
avertis                       avert
avertissait                   avert
avertissant                   avert
avertissement                 avert
avertit                       avert
aveu                          aveu
aveugle                       aveugl
aveugle'                      aveugl
aveugle'e                     aveugl
aveuglement                   aveugl
aveugle'ment                  aveugl
aveugles                      aveugl
aveux                         aveux
aveyron                       aveyron
avez                          avez
avide                         avid
avidement                     avid
avidite'                      avid
aviez                         avi
avilie                        avil
avilir                        avil
avilirait                     avil
avilissant                    avil
avilissantes                  avil
avilit                        avil
avions                        avion
aviron                        aviron
avis                          avis
avisa                         avis
avisais                       avis
avisait                       avis
avise                         avis
avise'                        avis
avise'e                       avis
aviser                        avis
aviserai                      avis
aviserait                     avis
aviserons                     avis
avises                        avis
avocat                        avocat
avocats                       avocat
avoine                        avoin
avoir                         avoir
avons                         avon
avoua                         avou
avouai                        avou
avouait                       avou
avoua^t                       avou
avoue                         avou
avoue'                        avou
avouent                       avouent
avouer                        avou
avouera                       avou
avouerai                      avou
avouerons                     avou
avoue's                       avou
avouez                        avou
avril                         avril
avviamento                    avviamento
away                          away
axe                           axe
ayant                         ayant
ayez                          ayez
aymon                         aymon
ayons                         ayon
azur                          azur
b                             b
bab                           bab
ba^bord                       ba^bord
babouches                     babouch
babylone                      babylon
bac                           bac
bacchus                       bacchus
back                          back
bad                           bad
badaud                        badaud
badauderie                    badauder
baden                         baden
badin                         badin
badine                        badin
bafouait                      bafou
bagage                        bagag
bagages                       bagag
bagarre                       bagarr
bagatelle                     bagatel
bagne                         bagn
bague                         bagu
bagues                        bagu
baguette                      baguet
bah                           bah
baie                          bai
baigne'                       baign
baigne'e                      baign
baigner                       baign
baigne's                      baign
bail                          bail
ba^illait                     ba^ill
ba^illant                     ba^ill
ba^illement                   ba^ill
ba^iller                      ba^ill
ba^illon                      ba^illon
bai"onnette                   bai"onnet
bai"onnettes                  bai"onnet
baisa                         bais
baisai                        bais
baisait                       bais
baisant                       bais
baise                         bais
baiser                        bais
baisers                       baiser
baissa                        baiss
baissait                      baiss
baissant                      baiss
baisse                        baiss
baisse'                       baiss
baisse'e                      baiss
baisser                       baiss
baisse`rent                   baiss
baisse's                      baiss
bajocs                        bajoc
bal                           bal
baladins                      baladin
balanc,ait                    balanc
balance                       balanc
balance'e                     balanc
balancement                   balanc
balancer                      balanc
balances                      balanc
balancier                     balanci
balaye'                       balai
balaye's                      balai
balbi                         balb
balbutia                      balbuti
balbutiant                    balbuti
balcon                        balcon
balcons                       balcon
baldaquin                     baldaquin
baldi                         bald
balivernes                    balivern
balland                       balland
ballants                      ball
balle                         ball
balles                        ball
ballet                        ballet
ballon                        ballon
balourd                       balourd
balourdise                    balourdis
balourdises                   balourdis
bals                          bal
balustrade                    balustrad
bamboches                     bamboch
bambou                        bambou
bambous                       bambous
bambousiers                   bambousi
ban                           ban
bananiers                     banani
banc                          banc
bancs                         banc
bande                         band
bande'                        band
banderoles                    banderol
bandes                        band
bandits                       bandit
bandoulie`re                  bandouli
banians                       banian
bank                          bank
banni                         bann
bannie                        bann
bannie`res                    banni
bannir                        bann
banque                        banqu
banqueroute                   banquerout
banquette                     banquet
banquettes                    banquet
banquier                      banqui
banquie`re                    banqui
banquiers                     banqui
baptise'                      baptis
bar                           bar
baraque                       baraqu
barbare                       barbar
barbares                      barbar
barbarie                      barbar
barbe                         barb
barbiche                      barbich
barbier                       barbi
barbone                       barbon
barbotement                   barbot
barbouillait                  barbouill
bare^me                       bare^m
bari                          bar
baring                        baring
bariole'e                     bariol
barnave                       barnav
barnum                        barnum
barome`tre                    barometr
barome`tres                   barometr
baron                         baron
baronne                       baron
baronnie                      baron
barons                        baron
baroque                       baroqu
barque                        barqu
barques                       barqu
barra                         barr
barre                         barr
barreaux                      barreau
barrer                        barr
barricader                    barricad
barricade's                   barricad
barrie`re                     barri
barrie`res                    barri
barthe'lemy                   barthe'lemy
bas                           bas
basalte                       basalt
base                          bas
base'e                        bas
bases                         bas
basile                        basil
basilique                     basil
basse                         bass
bassement                     bass
basses                        bass
bassesse                      bassess
bassesses                     bassess
bassin                        bassin
bassinet                      bassinet
bassins                       bassin
bassompierre                  bassompierr
bastingages                   bastingag
bastion                       bastion
bastions                      bastion
bat                           bat
bataille                      bataill
batailles                     bataill
bataillon                     bataillon
bataillons                    bataillon
ba^tardise                    ba^tardis
bateau                        bateau
bateaux                       bateau
batelier                      bateli
bateliers                     bateli
bathurst                      bathurst
ba^ti                         ba^t
ba^tie                        ba^t
ba^ties                       ba^t
ba^timent                     ba^t
ba^timents                    ba^t
ba^tir                        ba^t
ba^tis                        ba^t
ba^tissait                    ba^t
ba^tissant                    ba^t
ba^tisses                     ba^t
ba^tisseur                    ba^tisseur
ba^tit                        ba^t
ba^ton                        ba^ton
ba^tonne                      ba^ton
ba^tons                       ba^ton
bats                          bat
battaient                     batt
battait                       batt
battant                       batt
battante                      batt
battants                      batt
batte                         batt
battement                     batt
battements                    batt
battent                       battent
batterie                      batter
battez                        batt
battistin                     battistin
battit                        batt
battrai                       battr
battrais                      battr
battras                       battr
battre                        battr
battrez                       battr
battriez                      battr
battu                         battu
battue                        battu
battus                        battus
batulcar                      batulcar
baume                         baum
bavard                        bavard
bavardage                     bavardag
bavardages                    bavardag
bavarde                       bavard
bavardes                      bavard
bavards                       bavard
bayade`res                    bayader
bayard                        bayard
baylen                        baylen
bazar                         bazar
bazars                        bazar
bazin                         bazin
be                            be
be'ante                       be'
be'atitudes                   be'atitud
beau                          beau
beaucoup                      beaucoup
beauharnais                   beauharn
beaujolais                    beaujol
beaumarchais                  beaumarch
beaute'                       beaut
beaute's                      beaut
beauty                        beauty
beauvais                      beauv
beauvaisis                    beauvais
beauvoisis                    beauvois
beaux                         beau
bec                           bec
be^chait                      be^ch
be^che'                       be^ch
be^cher                       be^ch
becs                          bec
be'douin                      be'douin
beefsteacks                   beefsteack
be'gayait                     be'gai
be'har                        be'har
behind                        behind
be'kir                        bek
bel                           bel
belagio                       belagio
be'lan                        be'lan
belgique                      belgiqu
belgirate                     belgirat
belle                         bel
belles                        bel
belliqueux                    belliqu
belphe'gor                    belphe'gor
belve'de`re                   belve'der
ben                           ben
be'nare`s                     be'nares
be'ne'diction                 be'ne'dict
be'ne'dictions                be'ne'dict
benefaciendo                  benefaciendo
be'ne'fice                    be'ne'fic
be'ne'fices                   be'ne'fic
bene^t                        bene^t
bengale                       bengal
be'nis                        ben
be'nit                        ben
be'nite                       be'nit
be'nitier                     be'niti
benjamin                      benjamin
benten                        benten
bentivoglio                   bentivoglio
be'ranger                     be'rang
berceau                       berceau
bercer                        berc
be're'sina                    be're'sin
berge`re                      berger
berge`res                     berger
bernard                       bernard
berne                         bern
bertolotti                    bertolott
bertuccio                     bertuccio
besace                        besac
besanc,on                     besanc,on
besenval                      besenval
besogne                       besogn
besoin                        besoin
besoins                       besoin
be^ta                         be^t
be'tail                       be'tail
be^te                         be^t
be'tel                        be'tel
be^tement                     be^t
be^tes                        be^t
be^tise                       be^tis
be^tises                      be^tis
betrays                       betray
bettina                       bettin
beuglements                   beugl
beurre                        beurr
beuve                         beuv
be'vue                        be'vu
be'vues                       be'vu
biais                         bi
biaiser                       biais
bible                         bibl
bibliomane                    biblioman
bibliothe`que                 bibliothequ
bibliothe`ques                bibliothequ
biblique                      bibliqu
bibliques                     bibliqu
bielle                        biel
bien                          bien
bienfait                      bienf
bienfaiteur                   bienfaiteur
bienfaitrice                  bienfaitric
bienfaits                     bienfait
biens                         bien
biento^t                      biento^t
bienveillance                 bienveil
bienveillant                  bienveil
bienvenu                      bienvenu
bie`re                        bier
biftecks                      bifteck
bigarre'e                     bigarr
bijou                         bijou
bijoux                        bijoux
bilieuse                      bilieux
bilieux                       bilieux
billard                       billard
billards                      billard
billet                        billet
billets                       billet
binder                        bind
binet                         binet
biographie                    biograph
birmingham                    birmingham
bisai"eul                     bisai"eul
biscai"ens                    biscai"en
biscuit                       biscuit
biscuits                      biscuit
bisogna                       bisogn
bisons                        bison
bisontine                     bisontin
bisontins                     bisontin
bisontium                     bisontium
bitter                        bitt
bivouac                       bivouac
bivouacs                      bivouac
bivouaquaient                 bivouaqu
bizarre                       bizarr
bizarrerie                    bizarrer
bizarres                      bizarr
blackest                      blackest
blafarde                      blafard
bla^ma                        bla^m
bla^mable                     bla^mabl
bla^mables                    bla^mabl
bla^mait                      bla^m
bla^me                        bla^m
bla^me'                       bla^m
bla^me'e                      bla^m
bla^mer                       bla^m
bla^me's                      bla^m
blanc                         blanc
blanche                       blanch
blanches                      blanch
blancheur                     blancheur
blanchie                      blanch
blanchies                     blanch
blanchis                      blanch
blanchisseuse                 blanchiss
blancs                        blanc
bland                         bland
blane`s                       blanes
blason                        blason
blasphe`me                    blasphem
blasphe'me'                   blasphem
ble'                          ble'
ble^me                        ble^m
ble's                         ble'
blessa                        bless
blessaient                    bless
blessant                      bless
blesse                        bless
blesse'                       bless
blesse'e                      bless
blesser                       bless
blesserait                    bless
blesse's                      bless
blessez                       bless
blessure                      blessur
blessures                     blessur
bleu                          bleu
bleua^tre                     bleua^tr
bleua^tres                    bleua^tr
bleue                         bleu
bleues                        bleu
bleus                         bleus
bloc                          bloc
blocs                         bloc
blond                         blond
blonde                        blond
blondin                       blondin
blonds                        blond
blood                         blood
blottie                       blott
blottirent                    blott
blottit                       blott
blue                          blu
bluffs                        bluff
blushes                       blush
boat                          boat
boats                         boat
boeuf                         boeuf
boeufs                        boeuf
boire                         boir
bois                          bois
boise'                        bois
boiserie                      boiser
boisson                       boisson
boissons                      boisson
boit                          boit
boi^te                        boi^t
boi^tes                       boi^t
boiteux                       boiteux
bologne                       bologn
bombace                       bombac
bombarde'                     bombard
bombay                        bombay
bombe                         bomb
bombes                        bomb
bombe's                       bomb
bon                           bon
bona                          bon
bonaparte                     bonapart
bonapartiste                  bonapart
bonaventure                   bonaventur
bondir                        bond
bondissait                    bond
bondissant                    bond
bondit                        bond
bonds                         bond
bone                          bon
bonheur                       bonheur
bonheurs                      bonheur
bonhomie                      bonhom
bonhomme                      bonhomm
boniface                      bonifac
bonne                         bon
bonnement                     bon
bonnes                        bon
bonnet                        bonnet
bonnets                       bonnet
bons                          bon
bonshommes                    bonshomm
bonsoir                       bonsoir
bonte'                        bont
bonte's                       bont
bonzeries                     bonzer
bonzes                        bonz
booby                         booby
bord                          bord
borda                         bord
bordaient                     bord
bordait                       bord
borde'                        bord
bordeaux                      bordeau
borde'e                       bord
borde'es                      bord
bordent                       bordent
borde's                       bord
bords                         bord
bordures                      bordur
borgo                         borgo
borna                         born
bornaient                     born
bornait                       born
borne                         born
borne'                        born
bornes                        born
borone                        boron
borso                         borso
bosco                         bosco
bosse                         boss
bosses                        boss
bossi                         boss
bossuet                       bossuet
botanique                     botan
botte                         bott
bottes                        bott
bottier                       botti
bouche                        bouch
boucher                       bouch
boucherie                     boucher
bouchers                      boucher
bouches                       bouch
boucles                       boucl
boucle's                      boucl
bouclez                       boucl
bouclier                      boucli
bouddhisme                    bouddhism
bouddhiste                    bouddhist
bouder                        boud
boudeur                       boudeur
boudeurs                      boudeur
boue                          bou
bouffe                        bouff
bouffe'e                      bouff
bouffe'es                     bouff
bouffes                       bouff
bouffonnerie                  bouffonner
bouffonneries                 bouffonner
bougeait                      boug
bougeoir                      bougeoir
bouger                        boug
bougera                       boug
bougez                        boug
bougie                        boug
bougies                       boug
bougon                        bougon
bouillait                     bouill
bouillant                     bouill
bouillante                    bouill
bouilli                       bouill
bouillir                      bouill
bouillon                      bouillon
boulangers                    boulanger
boule                         boul
bouledogue                    bouledogu
boulet                        boulet
boulets                       boulet
boulettes                     boulet
boulevard                     boulevard
bouleversa                    boulevers
bouleversaient                boulevers
bouleverse                    boulevers
bouleverse'                   boulevers
bouleverse'e                  boulevers
bouleverse's                  boulevers
boulogne                      boulogn
boulons                       boulon
boulot                        boulot
bouquer                       bouqu
bouquet                       bouquet
bouquets                      bouquet
bourbeux                      bourbeux
bourbier                      bourbi
bourbiers                     bourbi
bourbons                      bourbon
bourdon                       bourdon
bourdonnement                 bourdon
bourdonnements                bourdon
bourg                         bourg
bourgade                      bourgad
bourgades                     bourgad
bourgeois                     bourgeois
bourgeoise                    bourgeois
bourgeoises                   bourgeois
bourgeoisie                   bourgeois
bourgeons                     bourgeon
bourgogne                     bourgogn
bourguignon                   bourguignon
bourguignons                  bourguignon
bourrasque                    bourrasqu
bourrasques                   bourrasqu
bourreau                      bourreau
bourreaux                     bourreau
bourre'es                     bourr
bourrele'e                    bourrel
bourre`lements                bourrel
bourse                        bours
bourses                       bours
boursicot                     boursicot
bouscule's                    bouscul
bout                          bout
boutade                       boutad
bouteille                     bouteil
bouteilles                    bouteil
boutique                      boutiqu
boutiques                     boutiqu
boutiquiers                   boutiqui
bouton                        bouton
boutonne'                     bouton
boutonnie`re                  boutonni
boutons                       bouton
bouts                         bout
bow                           bow
boxe                          box
bracelets                     bracelet
bradshaw                      bradshaw
brahma                        brahm
brahmanes                     brahman
brahmanique                   brahman
brahmaniques                  brahman
branchages                    branchag
branche                       branch
branches                      branch
brandissant                   brand
brandy                        brandy
branlante                     branl
branle                        branl
branto^me                     branto^m
bras                          bras
brasses                       brass
brasseur                      brasseur
bravade                       bravad
bravait                       brav
brave                         brav
brave'                        brav
brave'e                       brav
bravement                     brav
bravent                       bravent
braver                        brav
braverais                     brav
braves                        brav
bravi                         brav
bravissimo                    bravissimo
bravo                         bravo
bravoure                      bravour
bray                          bray
brebis                        breb
bref                          bref
brefs                         bref
brescia                       bresci
bre'sil                       bre'sil
bretagne                      bretagn
bre`ve                        brev
bre`ves                       brev
brevet                        brevet
brevets                       brevet
bre'viaire                    bre'viair
brick                         brick
bride                         brid
bride's                       brid
bridger                       bridg
bridon                        bridon
brigade                       brigad
brigadier                     brigadi
brigadiers                    brigadi
brigand                       brigand
brigands                      brigand
brigantine                    brigantin
brigham                       brigham
brighella                     brighel
brilla                        brill
brillaient                    brill
brillait                      brill
brillamment                   brill
brillant                      brill
brillante                     brill
brillantes                    brill
brillants                     brill
brille                        brill
brille'                       brill
brillent                      brillent
briller                       brill
brille`rent                   brill
brindisi                      brindis
brins                         brin
brio                          brio
brique                        briqu
briques                       briqu
brisa                         bris
brisaient                     bris
brisait                       bris
brise                         bris
brise'                        bris
brise'e                       bris
brise'es                      bris
briser                        bris
brise`rent                    bris
brises                        bris
brise's                       bris
britannique                   britann
britannise'e                  britannis
british                       british
broadway                      broadway
brocanteur                    brocanteur
brocart                       brocart
brochant                      broch
broche'es                     broch
brochure                      brochur
brocs                         broc
brode'                        brod
brode'es                      brod
broderie                      broder
broderies                     broder
brode's                       brod
bronche'                      bronch
broncher                      bronch
bronze                        bronz
brosser                       bross
brouette                      brouet
brouettes                     brouet
brougham                      brougham
brouhaha                      brouhah
brouillaient                  brouill
brouillais                    brouill
brouillard                    brouillard
brouillards                   brouillard
brouille                      brouill
brouille'                     brouill
brouille'e                    brouill
brouiller                     brouill
brouillerie                   brouiller
brouilleriez                  brouill
brouillerons                  brouill
brouilles                     brouill
brouillon                     brouillon
brouillons                    brouillon
broussailles                  broussaill
bruissement                   bruissement
bruit                         bruit
bruits                        bruit
bru^la                        bru^l
bru^laient                    bru^l
bru^lait                      bru^l
bru^lant                      bru^l
bru^lante                     bru^l
bru^lantes                    bru^l
bru^le                        bru^l
bru^le'                       bru^l
bru^le'e                      bru^l
bru^le'es                     bru^l
bru^ler                       bru^l
bru^lerait                    bru^l
bru^lerez                     bru^l
bru^le's                      bru^l
bru^lons                      bru^lon
bru^lure                      bru^lur
brume                         brum
brumes                        brum
brun                          brun
brune                         brun
bruno                         bruno
bruns                         brun
brusque                       brusqu
brusquement                   brusqu
brusquer                      brusqu
brusques                      brusqu
brut                          brut
brutal                        brutal
brutale                       brutal
brutalement                   brutal
brutalite'                    brutal
brutes                        brut
brutus                        brutus
bruxelles                     bruxel
bruyamment                    brui
bruyant                       brui
bruyante                      brui
bruyantes                     brui
bruyants                      brui
bu                            bu
bubna                         bubn
bu^cher                       bu^ch
budget                        budget
bue                           bu
buffa                         buff
buffalos                      buffalos
buffet                        buffet
buffles                       buffl
buis                          buis
buissons                      buisson
buli                          bul
bull                          bull
bulle                         bull
bulletin                      bulletin
bulletins                     bulletin
bulo                          bulo
bundelkund                    bundelkund
bungalow                      bungalow
bungalows                     bungalow
bunhyas                       bunhi
bunsby                        bunsby
buonaparte                    buonapart
buonaparte'                   buonapart
burati                        burat
burdivan                      burdivan
burdwan                       burdwan
bureau                        bureau
bureaucratique                bureaucrat
bureaux                       bureau
burhampour                    burhampour
burlesque                     burlesqu
burlington                    burlington
burning                       burning
busque'                       busqu
buste                         bust
bustos                        bustos
but                           but
butcher                       butch
butte                         butt
buvait                        buv
buvez                         buv
buvions                       buvion
buvons                        buvon
buxar                         buxar
by                            by
byron                         byron
c                             c
c,a                           c,a
c,a`                          c,a`
cab                           cab
cabale                        cabal
cabane                        caban
cabanes                       caban
cabaret                       cabaret
cabarets                      cabaret
cabine                        cabin
cabines                       cabin
cabinet                       cabinet
cabinets                      cabinet
cabotage                      cabotag
cabra                         cabr
cabrait                       cabr
cabrer                        cabr
cabriolet                     cabriolet
cacha                         cach
cachaient                     cach
cachais                       cach
cachait                       cach
cachant                       cach
cache                         cach
cache'                        cach
cache'e                       cach
cache'es                      cach
cachemire                     cachemir
cachent                       cachent
cacher                        cach
cachera                       cach
cacherai                      cach
cacherait                     cach
cacherons                     cach
cache's                       cach
cachet                        cachet
cachete'                      cachet
cacheter                      cachet
cachette                      cachet
cachettes                     cachet
cachons                       cachon
cachot                        cachot
cachots                       cachot
cacolet                       cacolet
cacolets                      cacolet
cadavre                       cadavr
cadavres                      cadavr
cadeau                        cadeau
cadeaux                       cadeau
cadenabia                     cadenabi
cadenas                       caden
cadet                         cadet
cadets                        cadet
cadette                       cadet
cadran                        cadran
cadre                         cadr
